Random-Continuous.parameter, Random-Continuous.points, AlwaysSame.parameter, AlwaysSame.points
1, 5.05, 0, 19.90
1, 4.90, 0, 20.20
1, 4.95, 0, 20.10
1, 4.90, 0, 20.20
1, 5.05, 0, 19.90
1, 5.05, 0, 19.90
1, 4.95, 0, 20.10
1, 5.05, 0, 19.90
1, 5.00, 0, 20.00
1, 5.00, 0, 20.00
1, 5.05, 0, 19.90
1, 4.90, 0, 20.20
1, 4.90, 0, 20.20
1, 5.05, 0, 19.90
1, 5.20, 0, 19.60
1, 4.90, 0, 20.20
1, 5.10, 0, 19.80
1, 4.90, 0, 20.20
1, 4.90, 0, 20.20
1, 4.90, 0, 20.20
1, 5.10, 0, 19.80
1, 5.10, 0, 19.80
1, 5.10, 0, 19.80
1, 5.10, 0, 19.80
1, 5.10, 0, 19.80
1, 5.00, 0, 20.00
1, 4.90, 0, 20.20
1, 5.05, 0, 19.90
1, 4.95, 0, 20.10
1, 4.90, 0, 20.20
1, 4.90, 0, 20.20
1, 4.85, 0, 20.30
1, 5.10, 0, 19.80
1, 5.10, 0, 19.80
1, 4.80, 0, 20.40
1, 5.00, 0, 20.00
1, 4.85, 0, 20.30
1, 5.00, 0, 20.00
1, 5.05, 0, 19.90
1, 5.05, 0, 19.90
1, 4.90, 0, 20.20
1, 4.95, 0, 20.10
1, 5.00, 0, 20.00
1, 5.05, 0, 19.90
1, 5.10, 0, 19.80
1, 5.05, 0, 19.90
1, 4.90, 0, 20.20
1, 5.00, 0, 20.00
1, 5.05, 0, 19.90
1, 4.95, 0, 20.10
1, 4.75, 0, 20.50
1, 5.00, 0, 20.00
1, 5.15, 0, 19.70
1, 5.00, 0, 20.00
1, 5.00, 0, 20.00
1, 5.05, 0, 19.90
1, 5.05, 0, 19.90
1, 5.20, 0, 19.60
1, 5.05, 0, 19.90
1, 5.00, 0, 20.00
1, 5.15, 0, 19.70
1, 5.00, 0, 20.00
1, 5.10, 0, 19.80
1, 5.15, 0, 19.70
1, 4.85, 0, 20.30
1, 4.85, 0, 20.30
1, 4.90, 0, 20.20
1, 5.05, 0, 19.90
1, 5.05, 0, 19.90
1, 5.25, 0, 19.50
1, 5.10, 0, 19.80
1, 5.20, 0, 19.60
1, 4.85, 0, 20.30
1, 5.15, 0, 19.70
1, 4.95, 0, 20.10
1, 4.80, 0, 20.40
1, 4.95, 0, 20.10
1, 4.80, 0, 20.40
2, 4.70, 0, 20.60
2, 4.70, 0, 20.60
2, 5.00, 0, 20.00
2, 4.80, 0, 20.40
2, 5.20, 0, 19.60
2, 5.00, 0, 20.00
2, 4.90, 0, 20.20
2, 4.70, 0, 20.60
2, 5.00, 0, 20.00
2, 4.70, 0, 20.60
2, 4.70, 0, 20.60
2, 5.00, 0, 20.00
2, 4.90, 0, 20.20
2, 4.80, 0, 20.40
2, 5.50, 0, 19.00
2, 4.80, 0, 20.40
2, 4.90, 0, 20.20
2, 4.90, 0, 20.20
2, 4.80, 0, 20.40
2, 4.50, 0, 21.00
2, 5.00, 0, 20.00
2, 5.20, 0, 19.60
2, 5.20, 0, 19.60
2, 5.10, 0, 19.80
2, 5.00, 0, 20.00
2, 4.90, 0, 20.20
2, 5.00, 0, 20.00
2, 5.00, 0, 20.00
2, 4.90, 0, 20.20
2, 4.80, 0, 20.40
2, 4.70, 0, 20.60
2, 4.80, 0, 20.40
2, 5.10, 0, 19.80
2, 4.70, 0, 20.60
2, 4.90, 0, 20.20
2, 4.80, 0, 20.40
2, 5.20, 0, 19.60
2, 5.20, 0, 19.60
2, 4.80, 0, 20.40
2, 4.90, 0, 20.20
2, 5.00, 0, 20.00
2, 4.80, 0, 20.40
2, 5.10, 0, 19.80
2, 4.90, 0, 20.20
2, 4.90, 0, 20.20
2, 4.90, 0, 20.20
2, 4.90, 0, 20.20
2, 4.70, 0, 20.60
2, 5.10, 0, 19.80
2, 4.80, 0, 20.40
2, 5.10, 0, 19.80
2, 4.50, 0, 21.00
2, 5.10, 0, 19.80
2, 4.70, 0, 20.60
2, 5.00, 0, 20.00
2, 5.10, 0, 19.80
2, 5.50, 0, 19.00
2, 5.20, 0, 19.60
2, 5.10, 0, 19.80
2, 4.80, 0, 20.40
2, 5.10, 0, 19.80
2, 5.20, 0, 19.60
2, 5.30, 0, 19.40
2, 5.00, 0, 20.00
2, 5.20, 0, 19.60
2, 5.00, 0, 20.00
2, 5.10, 0, 19.80
2, 5.10, 0, 19.80
2, 4.80, 0, 20.40
2, 5.10, 0, 19.80
2, 5.30, 0, 19.40
2, 5.00, 0, 20.00
2, 4.60, 0, 20.80
2, 4.90, 0, 20.20
2, 4.70, 0, 20.60
2, 4.60, 0, 20.80
2, 5.00, 0, 20.00
2, 5.00, 0, 20.00
2, 5.00, 0, 20.00
2, 4.70, 0, 20.60
2, 5.10, 0, 19.80
2, 5.00, 0, 20.00
2, 5.10, 0, 19.80
2, 4.70, 0, 20.60
2, 4.80, 0, 20.40
2, 5.00, 0, 20.00
2, 5.20, 0, 19.60
2, 5.00, 0, 20.00
2, 5.00, 0, 20.00
2, 5.30, 0, 19.40
2, 5.20, 0, 19.60
2, 4.90, 0, 20.20
2, 5.20, 0, 19.60
2, 5.30, 0, 19.40
2, 5.00, 0, 20.00
2, 5.30, 0, 19.40
2, 4.90, 0, 20.20
2, 4.80, 0, 20.40
2, 4.80, 0, 20.40
2, 5.20, 0, 19.60
3, 4.85, 0, 20.30
3, 5.00, 0, 20.00
3, 5.45, 0, 19.10
3, 4.85, 0, 20.30
3, 5.15, 0, 19.70
3, 5.30, 0, 19.40
3, 5.15, 0, 19.70
3, 4.25, 0, 21.50
3, 4.85, 0, 20.30
3, 5.75, 0, 18.50
3, 4.40, 0, 21.20
3, 5.15, 0, 19.70
3, 5.00, 0, 20.00
3, 4.70, 0, 20.60
3, 4.70, 0, 20.60
3, 5.00, 0, 20.00
3, 4.85, 0, 20.30
3, 4.85, 0, 20.30
3, 4.70, 0, 20.60
3, 5.30, 0, 19.40
3, 5.30, 0, 19.40
3, 4.85, 0, 20.30
3, 4.85, 0, 20.30
3, 5.30, 0, 19.40
3, 4.40, 0, 21.20
3, 5.30, 0, 19.40
3, 5.00, 0, 20.00
3, 4.55, 0, 20.90
3, 4.70, 0, 20.60
3, 5.45, 0, 19.10
3, 5.30, 0, 19.40
3, 5.15, 0, 19.70
3, 4.55, 0, 20.90
3, 5.15, 0, 19.70
3, 5.15, 0, 19.70
3, 5.00, 0, 20.00
3, 4.85, 0, 20.30
3, 5.30, 0, 19.40
3, 4.85, 0, 20.30
3, 4.85, 0, 20.30
3, 5.15, 0, 19.70
3, 4.85, 0, 20.30
3, 5.45, 0, 19.10
3, 5.30, 0, 19.40
3, 5.45, 0, 19.10
3, 4.40, 0, 21.20
3, 5.15, 0, 19.70
3, 5.15, 0, 19.70
3, 5.30, 0, 19.40
3, 5.30, 0, 19.40
3, 4.70, 0, 20.60
3, 4.55, 0, 20.90
3, 5.15, 0, 19.70
3, 5.45, 0, 19.10
3, 5.15, 0, 19.70
3, 5.45, 0, 19.10
3, 5.00, 0, 20.00
3, 5.00, 0, 20.00
3, 4.85, 0, 20.30
3, 5.45, 0, 19.10
3, 5.00, 0, 20.00
3, 5.45, 0, 19.10
3, 5.30, 0, 19.40
3, 5.15, 0, 19.70
3, 5.15, 0, 19.70
3, 5.15, 0, 19.70
3, 4.85, 0, 20.30
3, 5.45, 0, 19.10
3, 4.70, 0, 20.60
3, 5.30, 0, 19.40
3, 5.45, 0, 19.10
3, 5.00, 0, 20.00
3, 5.00, 0, 20.00
3, 4.70, 0, 20.60
3, 5.00, 0, 20.00
3, 5.00, 0, 20.00
3, 4.85, 0, 20.30
3, 4.85, 0, 20.30
3, 4.70, 0, 20.60
3, 4.70, 0, 20.60
3, 4.70, 0, 20.60
3, 5.30, 0, 19.40
3, 4.70, 0, 20.60
3, 4.25, 0, 21.50
3, 4.70, 0, 20.60
3, 4.85, 0, 20.30
3, 4.85, 0, 20.30
3, 4.40, 0, 21.20
3, 5.00, 0, 20.00
3, 4.85, 0, 20.30
3, 5.75, 0, 18.50
3, 4.70, 0, 20.60
3, 5.90, 0, 18.20
3, 4.55, 0, 20.90
3, 4.85, 0, 20.30
3, 4.55, 0, 20.90
3, 5.15, 0, 19.70
3, 5.00, 0, 20.00
3, 5.30, 0, 19.40
3, 5.15, 0, 19.70
4, 4.60, 0, 20.80
4, 5.40, 0, 19.20
4, 4.20, 0, 21.60
4, 5.40, 0, 19.20
4, 5.00, 0, 20.00
4, 5.60, 0, 18.80
4, 5.20, 0, 19.60
4, 4.60, 0, 20.80
4, 5.20, 0, 19.60
4, 4.60, 0, 20.80
4, 4.60, 0, 20.80
4, 4.60, 0, 20.80
4, 4.20, 0, 21.60
4, 4.60, 0, 20.80
4, 5.20, 0, 19.60
4, 5.00, 0, 20.00
4, 5.40, 0, 19.20
4, 4.60, 0, 20.80
4, 5.80, 0, 18.40
4, 5.40, 0, 19.20
4, 4.80, 0, 20.40
4, 5.20, 0, 19.60
4, 4.80, 0, 20.40
4, 4.20, 0, 21.60
4, 5.20, 0, 19.60
4, 4.80, 0, 20.40
4, 5.00, 0, 20.00
4, 5.00, 0, 20.00
4, 4.40, 0, 21.20
4, 4.60, 0, 20.80
4, 4.60, 0, 20.80
4, 5.40, 0, 19.20
4, 4.60, 0, 20.80
4, 4.80, 0, 20.40
4, 5.80, 0, 18.40
4, 4.40, 0, 21.20
4, 4.80, 0, 20.40
4, 5.40, 0, 19.20
4, 5.20, 0, 19.60
4, 5.20, 0, 19.60
4, 5.20, 0, 19.60
4, 4.80, 0, 20.40
4, 5.40, 0, 19.20
4, 5.80, 0, 18.40
4, 6.00, 0, 18.00
4, 4.60, 0, 20.80
4, 4.60, 0, 20.80
4, 5.20, 0, 19.60
4, 5.20, 0, 19.60
4, 5.40, 0, 19.20
4, 5.60, 0, 18.80
4, 5.00, 0, 20.00
4, 4.60, 0, 20.80
4, 4.80, 0, 20.40
4, 4.40, 0, 21.20
4, 5.60, 0, 18.80
4, 5.00, 0, 20.00
4, 5.20, 0, 19.60
4, 5.00, 0, 20.00
4, 4.80, 0, 20.40
4, 5.20, 0, 19.60
4, 6.00, 0, 18.00
4, 5.00, 0, 20.00
4, 5.00, 0, 20.00
4, 5.00, 0, 20.00
4, 4.80, 0, 20.40
4, 5.20, 0, 19.60
4, 6.40, 0, 17.20
4, 4.60, 0, 20.80
4, 5.20, 0, 19.60
4, 5.40, 0, 19.20
4, 4.20, 0, 21.60
4, 5.20, 0, 19.60
4, 5.40, 0, 19.20
4, 5.20, 0, 19.60
4, 5.20, 0, 19.60
4, 5.00, 0, 20.00
4, 5.20, 0, 19.60
4, 5.40, 0, 19.20
4, 5.00, 0, 20.00
4, 4.60, 0, 20.80
4, 5.00, 0, 20.00
4, 4.60, 0, 20.80
4, 3.60, 0, 22.80
4, 5.80, 0, 18.40
4, 4.60, 0, 20.80
4, 5.00, 0, 20.00
4, 4.80, 0, 20.40
4, 4.40, 0, 21.20
4, 5.00, 0, 20.00
4, 5.00, 0, 20.00
4, 5.80, 0, 18.40
4, 5.00, 0, 20.00
4, 5.20, 0, 19.60
4, 5.20, 0, 19.60
4, 5.00, 0, 20.00
4, 5.00, 0, 20.00
4, 5.60, 0, 18.80
4, 4.80, 0, 20.40
4, 4.40, 0, 21.20
5, 4.75, 0, 20.50
5, 5.75, 0, 18.50
5, 4.50, 0, 21.00
5, 6.00, 0, 18.00
5, 5.50, 0, 19.00
5, 5.75, 0, 18.50
5, 5.25, 0, 19.50
5, 6.25, 0, 17.50
5, 4.50, 0, 21.00
5, 5.00, 0, 20.00
5, 4.25, 0, 21.50
5, 4.75, 0, 20.50
5, 4.25, 0, 21.50
5, 5.75, 0, 18.50
5, 5.50, 0, 19.00
5, 4.00, 0, 22.00
5, 5.00, 0, 20.00
5, 5.25, 0, 19.50
5, 4.25, 0, 21.50
5, 4.75, 0, 20.50
5, 5.00, 0, 20.00
5, 4.75, 0, 20.50
5, 4.75, 0, 20.50
5, 4.00, 0, 22.00
5, 5.50, 0, 19.00
5, 5.50, 0, 19.00
5, 5.75, 0, 18.50
5, 5.00, 0, 20.00
5, 5.00, 0, 20.00
5, 5.75, 0, 18.50
5, 4.50, 0, 21.00
5, 5.25, 0, 19.50
5, 4.75, 0, 20.50
5, 6.00, 0, 18.00
5, 4.25, 0, 21.50
5, 4.75, 0, 20.50
5, 4.50, 0, 21.00
5, 5.00, 0, 20.00
5, 5.00, 0, 20.00
5, 4.75, 0, 20.50
5, 4.75, 0, 20.50
5, 3.50, 0, 23.00
5, 4.75, 0, 20.50
5, 4.75, 0, 20.50
5, 4.00, 0, 22.00
5, 5.25, 0, 19.50
5, 5.25, 0, 19.50
5, 5.00, 0, 20.00
5, 4.75, 0, 20.50
5, 5.00, 0, 20.00
5, 5.00, 0, 20.00
5, 5.00, 0, 20.00
5, 4.25, 0, 21.50
5, 4.75, 0, 20.50
5, 5.00, 0, 20.00
5, 5.25, 0, 19.50
5, 4.75, 0, 20.50
5, 5.50, 0, 19.00
5, 5.75, 0, 18.50
5, 5.50, 0, 19.00
5, 4.50, 0, 21.00
5, 5.00, 0, 20.00
5, 4.75, 0, 20.50
5, 4.25, 0, 21.50
5, 4.00, 0, 22.00
5, 5.25, 0, 19.50
5, 4.50, 0, 21.00
5, 5.25, 0, 19.50
5, 3.75, 0, 22.50
5, 5.00, 0, 20.00
5, 4.75, 0, 20.50
5, 5.25, 0, 19.50
5, 4.25, 0, 21.50
5, 5.50, 0, 19.00
5, 5.00, 0, 20.00
5, 5.50, 0, 19.00
5, 5.50, 0, 19.00
5, 5.25, 0, 19.50
5, 4.50, 0, 21.00
5, 5.00, 0, 20.00
5, 5.00, 0, 20.00
5, 5.50, 0, 19.00
5, 5.25, 0, 19.50
5, 5.25, 0, 19.50
5, 4.50, 0, 21.00
5, 3.75, 0, 22.50
5, 5.50, 0, 19.00
5, 4.00, 0, 22.00
5, 5.75, 0, 18.50
5, 5.50, 0, 19.00
5, 5.00, 0, 20.00
5, 5.25, 0, 19.50
5, 6.50, 0, 17.00
5, 4.75, 0, 20.50
5, 5.25, 0, 19.50
5, 4.75, 0, 20.50
5, 5.25, 0, 19.50
5, 4.25, 0, 21.50
5, 6.00, 0, 18.00
5, 5.00, 0, 20.00
6, 5.90, 0, 18.20
6, 4.70, 0, 20.60
6, 5.60, 0, 18.80
6, 5.60, 0, 18.80
6, 4.40, 0, 21.20
6, 4.70, 0, 20.60
6, 5.30, 0, 19.40
6, 4.70, 0, 20.60
6, 4.40, 0, 21.20
6, 4.40, 0, 21.20
6, 4.40, 0, 21.20
6, 4.70, 0, 20.60
6, 5.90, 0, 18.20
6, 4.70, 0, 20.60
6, 5.90, 0, 18.20
6, 5.00, 0, 20.00
6, 5.90, 0, 18.20
6, 4.70, 0, 20.60
6, 5.90, 0, 18.20
6, 5.00, 0, 20.00
6, 5.90, 0, 18.20
6, 5.00, 0, 20.00
6, 4.70, 0, 20.60
6, 5.00, 0, 20.00
6, 5.30, 0, 19.40
6, 5.60, 0, 18.80
6, 3.80, 0, 22.40
6, 5.30, 0, 19.40
6, 5.60, 0, 18.80
6, 5.00, 0, 20.00
6, 4.40, 0, 21.20
6, 5.60, 0, 18.80
6, 5.30, 0, 19.40
6, 5.00, 0, 20.00
6, 5.00, 0, 20.00
6, 4.70, 0, 20.60
6, 4.70, 0, 20.60
6, 5.60, 0, 18.80
6, 5.30, 0, 19.40
6, 5.90, 0, 18.20
6, 4.40, 0, 21.20
6, 4.70, 0, 20.60
6, 5.60, 0, 18.80
6, 5.30, 0, 19.40
6, 5.60, 0, 18.80
6, 4.70, 0, 20.60
6, 5.60, 0, 18.80
6, 5.00, 0, 20.00
6, 5.00, 0, 20.00
6, 4.70, 0, 20.60
6, 5.90, 0, 18.20
6, 6.20, 0, 17.60
6, 5.00, 0, 20.00
6, 5.00, 0, 20.00
6, 5.00, 0, 20.00
6, 5.60, 0, 18.80
6, 4.70, 0, 20.60
6, 5.00, 0, 20.00
6, 4.40, 0, 21.20
6, 4.70, 0, 20.60
6, 4.10, 0, 21.80
6, 4.40, 0, 21.20
6, 4.70, 0, 20.60
6, 5.30, 0, 19.40
6, 4.10, 0, 21.80
6, 4.70, 0, 20.60
6, 3.80, 0, 22.40
6, 5.60, 0, 18.80
6, 5.00, 0, 20.00
6, 5.60, 0, 18.80
6, 4.70, 0, 20.60
6, 5.60, 0, 18.80
6, 5.90, 0, 18.20
6, 4.40, 0, 21.20
6, 5.90, 0, 18.20
6, 5.00, 0, 20.00
6, 4.10, 0, 21.80
6, 5.30, 0, 19.40
6, 5.30, 0, 19.40
6, 5.60, 0, 18.80
6, 5.30, 0, 19.40
6, 4.10, 0, 21.80
6, 5.30, 0, 19.40
6, 5.60, 0, 18.80
6, 5.90, 0, 18.20
6, 4.10, 0, 21.80
6, 5.00, 0, 20.00
6, 5.00, 0, 20.00
6, 5.90, 0, 18.20
6, 5.60, 0, 18.80
6, 5.30, 0, 19.40
6, 6.20, 0, 17.60
6, 4.40, 0, 21.20
6, 4.70, 0, 20.60
6, 4.40, 0, 21.20
6, 5.00, 0, 20.00
6, 5.30, 0, 19.40
6, 4.40, 0, 21.20
6, 5.30, 0, 19.40
6, 4.70, 0, 20.60
7, 4.30, 0, 21.40
7, 5.70, 0, 18.60
7, 3.95, 0, 22.10
7, 5.35, 0, 19.30
7, 4.65, 0, 20.70
7, 5.70, 0, 18.60
7, 4.65, 0, 20.70
7, 6.40, 0, 17.20
7, 5.35, 0, 19.30
7, 6.05, 0, 17.90
7, 5.00, 0, 20.00
7, 6.05, 0, 17.90
7, 5.70, 0, 18.60
7, 5.00, 0, 20.00
7, 4.30, 0, 21.40
7, 5.00, 0, 20.00
7, 4.30, 0, 21.40
7, 5.00, 0, 20.00
7, 5.35, 0, 19.30
7, 4.30, 0, 21.40
7, 4.65, 0, 20.70
7, 5.00, 0, 20.00
7, 5.70, 0, 18.60
7, 5.00, 0, 20.00
7, 5.35, 0, 19.30
7, 4.30, 0, 21.40
7, 5.35, 0, 19.30
7, 5.35, 0, 19.30
7, 4.65, 0, 20.70
7, 6.05, 0, 17.90
7, 5.00, 0, 20.00
7, 6.05, 0, 17.90
7, 4.30, 0, 21.40
7, 6.40, 0, 17.20
7, 5.00, 0, 20.00
7, 3.60, 0, 22.80
7, 4.65, 0, 20.70
7, 3.95, 0, 22.10
7, 5.70, 0, 18.60
7, 5.00, 0, 20.00
7, 4.30, 0, 21.40
7, 4.65, 0, 20.70
7, 4.30, 0, 21.40
7, 4.30, 0, 21.40
7, 5.35, 0, 19.30
7, 6.05, 0, 17.90
7, 5.35, 0, 19.30
7, 6.40, 0, 17.20
7, 3.25, 0, 23.50
7, 3.95, 0, 22.10
7, 3.60, 0, 22.80
7, 5.35, 0, 19.30
7, 4.65, 0, 20.70
7, 5.35, 0, 19.30
7, 4.30, 0, 21.40
7, 3.60, 0, 22.80
7, 5.35, 0, 19.30
7, 5.35, 0, 19.30
7, 3.60, 0, 22.80
7, 5.70, 0, 18.60
7, 6.75, 0, 16.50
7, 3.95, 0, 22.10
7, 5.70, 0, 18.60
7, 6.05, 0, 17.90
7, 3.95, 0, 22.10
7, 5.35, 0, 19.30
7, 5.35, 0, 19.30
7, 5.00, 0, 20.00
7, 6.40, 0, 17.20
7, 3.95, 0, 22.10
7, 4.65, 0, 20.70
7, 5.70, 0, 18.60
7, 6.40, 0, 17.20
7, 5.35, 0, 19.30
7, 3.95, 0, 22.10
7, 5.35, 0, 19.30
7, 5.35, 0, 19.30
7, 6.40, 0, 17.20
7, 5.70, 0, 18.60
7, 6.05, 0, 17.90
7, 4.30, 0, 21.40
7, 5.00, 0, 20.00
7, 4.30, 0, 21.40
7, 5.00, 0, 20.00
7, 5.00, 0, 20.00
7, 4.65, 0, 20.70
7, 5.70, 0, 18.60
7, 5.35, 0, 19.30
7, 6.40, 0, 17.20
7, 2.90, 0, 24.20
7, 5.70, 0, 18.60
7, 5.70, 0, 18.60
7, 4.65, 0, 20.70
7, 4.65, 0, 20.70
7, 5.00, 0, 20.00
7, 5.70, 0, 18.60
7, 5.35, 0, 19.30
7, 4.30, 0, 21.40
7, 5.70, 0, 18.60
7, 5.35, 0, 19.30
8, 5.40, 0, 19.20
8, 4.20, 0, 21.60
8, 5.80, 0, 18.40
8, 5.00, 0, 20.00
8, 5.40, 0, 19.20
8, 5.40, 0, 19.20
8, 5.80, 0, 18.40
8, 5.00, 0, 20.00
8, 4.60, 0, 20.80
8, 5.00, 0, 20.00
8, 5.00, 0, 20.00
8, 4.20, 0, 21.60
8, 6.20, 0, 17.60
8, 3.40, 0, 23.20
8, 3.80, 0, 22.40
8, 3.80, 0, 22.40
8, 5.00, 0, 20.00
8, 5.00, 0, 20.00
8, 4.20, 0, 21.60
8, 5.00, 0, 20.00
8, 4.20, 0, 21.60
8, 4.60, 0, 20.80
8, 4.60, 0, 20.80
8, 3.80, 0, 22.40
8, 5.00, 0, 20.00
8, 5.40, 0, 19.20
8, 4.20, 0, 21.60
8, 4.60, 0, 20.80
8, 5.00, 0, 20.00
8, 4.60, 0, 20.80
8, 3.40, 0, 23.20
8, 5.80, 0, 18.40
8, 5.40, 0, 19.20
8, 4.60, 0, 20.80
8, 5.40, 0, 19.20
8, 4.60, 0, 20.80
8, 5.40, 0, 19.20
8, 4.20, 0, 21.60
8, 5.00, 0, 20.00
8, 6.20, 0, 17.60
8, 5.40, 0, 19.20
8, 4.20, 0, 21.60
8, 5.00, 0, 20.00
8, 3.40, 0, 23.20
8, 4.60, 0, 20.80
8, 6.20, 0, 17.60
8, 5.40, 0, 19.20
8, 4.20, 0, 21.60
8, 6.60, 0, 16.80
8, 4.20, 0, 21.60
8, 5.00, 0, 20.00
8, 4.20, 0, 21.60
8, 4.60, 0, 20.80
8, 4.20, 0, 21.60
8, 6.20, 0, 17.60
8, 6.60, 0, 16.80
8, 6.20, 0, 17.60
8, 5.00, 0, 20.00
8, 5.80, 0, 18.40
8, 4.60, 0, 20.80
8, 4.60, 0, 20.80
8, 5.80, 0, 18.40
8, 5.00, 0, 20.00
8, 5.00, 0, 20.00
8, 3.80, 0, 22.40
8, 5.00, 0, 20.00
8, 6.20, 0, 17.60
8, 4.20, 0, 21.60
8, 4.20, 0, 21.60
8, 4.60, 0, 20.80
8, 5.00, 0, 20.00
8, 4.60, 0, 20.80
8, 7.00, 0, 16.00
8, 4.60, 0, 20.80
8, 5.00, 0, 20.00
8, 5.80, 0, 18.40
8, 4.20, 0, 21.60
8, 4.60, 0, 20.80
8, 6.20, 0, 17.60
8, 4.60, 0, 20.80
8, 5.80, 0, 18.40
8, 3.80, 0, 22.40
8, 6.60, 0, 16.80
8, 5.40, 0, 19.20
8, 5.40, 0, 19.20
8, 4.20, 0, 21.60
8, 5.80, 0, 18.40
8, 5.80, 0, 18.40
8, 4.20, 0, 21.60
8, 4.20, 0, 21.60
8, 5.40, 0, 19.20
8, 5.80, 0, 18.40
8, 5.00, 0, 20.00
8, 5.40, 0, 19.20
8, 4.60, 0, 20.80
8, 3.40, 0, 23.20
8, 7.00, 0, 16.00
8, 5.40, 0, 19.20
8, 5.80, 0, 18.40
8, 6.60, 0, 16.80
9, 5.45, 0, 19.10
9, 5.45, 0, 19.10
9, 4.10, 0, 21.80
9, 6.35, 0, 17.30
9, 5.00, 0, 20.00
9, 5.90, 0, 18.20
9, 4.55, 0, 20.90
9, 6.35, 0, 17.30
9, 4.55, 0, 20.90
9, 5.00, 0, 20.00
9, 5.00, 0, 20.00
9, 5.00, 0, 20.00
9, 5.90, 0, 18.20
9, 5.90, 0, 18.20
9, 4.10, 0, 21.80
9, 5.45, 0, 19.10
9, 5.45, 0, 19.10
9, 5.00, 0, 20.00
9, 4.10, 0, 21.80
9, 6.35, 0, 17.30
9, 5.00, 0, 20.00
9, 3.20, 0, 23.60
9, 3.65, 0, 22.70
9, 5.90, 0, 18.20
9, 5.00, 0, 20.00
9, 4.10, 0, 21.80
9, 5.45, 0, 19.10
